bin,count,precision,recall,f1,tp,fp,fn
256-512,265,0.7721542454578804,0.8018096063143324,0.786702554158496,16660,4916,4118
512+,65,0.7470285053117969,0.7969030520645425,0.7711602144958231,7102,2405,1810
128-256,340,0.792835323521189,0.796151701059621,0.794490050981789,11420,2984,2924
0-128,40,0.7706511175891442,0.8058943089422704,0.7878787873782549,793,236,191
