batch_size,avg_time_ms,throughput,peak_memory_mb,latency_per_sample_ms
1,39.27626206841267,25.460671340316637,42151.7275390625,39.27626206841267
2,65.3117158439722,30.536359314712097,42312.7548828125,32.6558579219861
4,118.09457018134299,33.77601560189242,42642.8095703125,29.523642545335747
8,216.39012230767145,36.456788344858815,43302.9189453125,27.04876528845893
