epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.14315305243338078,398.3448312282562,0.7679558006035581,0.7679558011035581,0.7679558011035581,417,126,126,47824.8955078125
2,0.038191592516246396,401.40513038635254,0.7693744159319013,0.7803030303015525,0.75874769797282,412,116,131,47825.0009765625
3,0.03207925669996488,401.11449337005615,0.7881856535105983,0.7274143302169355,0.8600368324109392,467,175,76,47825.0009765625
4,0.02723581055033719,401.36892318725586,0.7757352936162227,0.7743119266040839,0.7771639042342963,422,123,121,47825.0009765625
5,0.025305530464646207,401.4004328250885,0.7623485549506561,0.7716981132060912,0.7532228360943771,409,121,134,47825.0009765625
