epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.08304890728637791,847.3462316989899,0.84051838088182,0.7944999999996027,0.8921953958445299,1589,411,192,47824.8955078125
2,0.03229372072782863,849.4600079059601,0.8411214948268586,0.8239095315019795,0.8590679393594278,1530,327,251,47824.9306640625
3,0.016401342202153557,847.8655638694763,0.844300026578428,0.8153765690372304,0.8753509264453254,1559,353,222,47824.9306640625
4,0.013466176933166792,848.8263530731201,0.8124621894601592,0.8806557377043406,0.7540707467710533,1343,182,438,47824.9306640625
5,0.011319693026413986,848.7015271186829,0.8326682623367908,0.7912032355911066,0.8787198203251664,1565,413,216,47824.9306640625
