seq_length,avg_time_ms,throughput,peak_memory_mb,memory_per_token_kb,estimated_gflops
128,26.519515501555574,150.83231817584937,42094.984375,336759.875,463.860662272
256,37.37310792810174,107.02882959841571,42147.4365234375,168589.74609375,927.721324544
512,62.90606978119061,63.586868706206005,42308.7158203125,84617.431640625,1855.442649088
1024,118.03785895788542,33.88743268739867,42640.7744140625,42640.7744140625,3710.885298176
