bin,count,precision,recall,f1,tp,fp,fn
0-128,444,0.7762836185809581,0.6726694915247111,0.7207718496719997,635,183,309
128-256,412,0.7063989962349982,0.6463834672782476,0.6750599515385439,563,234,308
256-512,15,0.63157894733518,0.42857142855612246,0.5106382973689452,12,7,16
