batch_size,avg_time_ms,throughput,peak_memory_mb,latency_per_sample_ms
1,84.88914722963808,11.780068861981233,48317.62890625,84.88914722963808
2,130.5664887122058,15.300299806803308,48405.12548828125,65.2832443561029
4,243.93313193539962,16.379131495326334,48653.36767578125,60.983282983849904
8,460.62186661116573,17.347907833517716,49198.97705078125,57.577733326395716
