epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.20805754295878612,420.1135365962982,0.7779037020799341,0.8205368366567051,0.7394819849837679,33290,7281,11728,47824.8955078125
2,0.14464908293531428,420.4215898513794,0.780735255716484,0.8260039662865438,0.7401705984272794,33321,7019,11697,47824.9658203125
3,0.09122887420862791,421.4416527748108,0.7898319175601458,0.7783505154639008,0.8016571149317873,36089,10277,8929,47824.9658203125
4,0.04172553594731336,421.0881941318512,0.782894809226901,0.7809136517337995,0.7848860455817499,35334,9913,9684,47824.9658203125
5,0.020199808059579633,421.37633752822876,0.7860467143820186,0.7733898013586558,0.7991247945266161,35975,10541,9043,47824.9658203125
