epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.08636682253633347,837.4188101291656,0.8456678695357883,0.8358608385366477,0.8557077625566869,1874,368,316,53856.22119140625
2,0.030420169037989227,839.5760083198547,0.8372733527243253,0.8417166589751538,0.8328767123283868,1824,343,366,53848.86376953125
3,0.014028581037308377,836.68994140625,0.8413604194950508,0.8411684162479045,0.8415525114151409,1843,348,347,53848.86376953125
4,0.009953365962694713,838.9759719371796,0.844626967329868,0.8440492476056343,0.8452054794516689,1851,342,339,53848.86376953125
5,0.0071925651369917415,840.5283877849579,0.8507029675873546,0.8319511130507062,0.8703196347027989,1906,385,284,53848.86376953125
