seq_length,avg_time_ms,throughput,peak_memory_mb,memory_per_token_kb,estimated_gflops
128,66.82982944673108,59.85351201873607,48365.38525390625,386923.08203125,429.50197248
256,83.03353991559757,48.17330447510661,48384.77392578125,193539.095703125,859.00394496
512,129.18654885343327,30.962975909652503,48447.6689453125,96895.337890625,1718.00788992
1024,242.2502322863507,16.51185207233081,48668.2861328125,48668.2861328125,3436.01577984
