batch_size,avg_time_ms,throughput,peak_memory_mb,latency_per_sample_ms
1,39.239207310463065,25.48471461433809,42148.7626953125,39.239207310463065
2,65.53586797976713,30.482642308714063,42309.7900390625,32.767933989883566
4,118.49134340198762,33.71902730887324,42639.8447265625,29.622835850496905
8,219.768128263841,36.360257291175856,43299.9541015625,27.471016032980124
