seq_length,avg_time_ms,throughput,peak_memory_mb,memory_per_token_kb,estimated_gflops
128,26.024796547146018,153.5233075424311,42094.0546875,336752.4375,463.860662272
256,37.82868822780224,105.61859348588946,42146.5068359375,168586.02734375,927.721324544
512,63.28865147511893,63.130004367488205,42307.7861328125,84615.572265625,1855.442649088
1024,118.36932121066872,33.753786903329704,42639.8447265625,42639.8447265625,3710.885298176
