bin,count,precision,recall,f1,tp,fp,fn
0-128,444,0.7626404494371312,0.7070312499990794,0.7337837832835079,543,169,225
128-256,412,0.6706231453995984,0.652236652235711,0.6613021209329255,452,222,241
256-512,15,0.5714285714013605,0.49999999997916666,0.5333333328118518,12,9,12
