epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.039388597681478225,1041.6513028144836,0.6911357335742379,0.7458893871444351,0.6438709677415201,998,340,552,47824.8955078125
2,0.012080447193885764,1042.8612260818481,0.7226209043362792,0.6996978851959519,0.7470967741930664,1158,497,392,47825.0361328125
3,0.0074949171664665795,1041.9699881076813,0.7125372141872495,0.7311608961298499,0.694838709676971,1077,396,473,47825.0361328125
4,0.00521827548017235,1041.7738468647003,0.6936813181829263,0.7415565345075319,0.651612903225386,1010,352,540,47825.0361328125
5,0.0035635029543862502,1041.6958365440369,0.6899592939377674,0.727467811158278,0.6561290322576412,1017,381,533,47825.0361328125
