batch_size,avg_time_ms,throughput,peak_memory_mb,latency_per_sample_ms
1,64.37309627801599,15.534439972891427,48300.009765625,64.37309627801599
2,84.94601786976129,23.544364411129756,48342.51953125,42.473008934880646
4,133.17419036050862,29.95147959335104,48431.34423828125,33.293547590127154
8,260.51940542928287,30.62162711734391,48729.97705078125,32.56492567866036
