bin,count,precision,recall,f1,tp,fp,fn
256-512,265,0.7730833231867863,0.8228433193658118,0.7971875779720355,19048,5591,4101
512+,65,0.7558850504431739,0.8247164776516303,0.7888020412937717,4945,1597,1051
128-256,340,0.7868011527377068,0.800504310092019,0.7935935814550531,13651,3699,3402
0-128,40,0.7671665351217307,0.8209459459452526,0.7931456543346875,972,295,212
