epochs,train_loss,train_time_sec,val_f1,val_precision,val_recall,val_tp,val_fp,val_fn,peak_memory_mb
1,0.07492704508485089,395.77801513671875,0.7567954215310825,0.7296551724127867,0.7860326894490549,529,196,144,53856.22119140625
2,0.04355421558147113,396.1684527397156,0.7775408665929403,0.7452316076284125,0.8127786032677373,547,187,126,53848.89892578125
3,0.03508951126714237,396.64818382263184,0.7572964664732941,0.7837837837825378,0.7325408618116901,493,136,180,53848.89892578125
4,0.02892248895141037,396.8310196399689,0.7753120660753433,0.7269180754216815,0.8306092124801923,559,210,114,53848.89892578125
5,0.025410932779111686,397.11949610710144,0.7783467441953948,0.7665706051862153,0.7904903417521687,532,162,141,53848.89892578125
